ID,Age,Gender,Study_Hours,Sleep_Hours,CGPA,Department,Social_Media_Hours
1,25,Male,2,5,2.51,CSE,6
2,25,Male,2,5,2.62,Statistics,5
3,21,Female,3,5,2.73,CSE,5
4,23,Male,6,7,3.75,Economics,1
5,22,Female,4,6,3.38,Statistics,2
6,20,Female,5,5,3.49,Statistics,3
7,25,Female,5,5,3.13,BBA,4
8,24,Female,3,5,3.11,Statistics,1
9,21,Female,8,5,3.81,CSE,4
10,22,Male,4,6,2.91,CSE,6
11,24,Female,7,6,3.78,CSE,2
12,25,Female,4,5,3.33,Economics,2
13,22,Female,2,6,2.8,CSE,5
14,25,Female,5,8,3.18,CSE,6
15,21,Female,7,7,3.63,BBA,6
16,21,Male,3,8,3.15,CSE,1
17,25,Female,3,8,2.68,Economics,5
18,24,Female,4,5,3.09,BBA,6
19,20,Female,4,8,3.18,CSE,2
20,24,Male,2,7,2.6,CSE,6
21,22,Male,8,6,4.0,BBA,5
22,23,Female,2,5,2.9,CSE,3
23,20,Male,3,5,3.14,CSE,1
24,21,Female,7,8,3.52,CSE,5
25,24,Female,8,6,3.72,Economics,6
26,24,Female,5,5,3.29,Statistics,2
27,24,Male,6,6,3.34,Statistics,5
28,21,Male,2,5,2.58,BBA,3
29,25,Female,5,6,3.1,CSE,5
30,23,Female,8,8,3.84,BBA,2
31,23,Male,5,8,3.02,Statistics,6
32,23,Male,7,7,3.75,Economics,1
33,21,Male,5,6,3.34,Economics,3
34,24,Male,2,5,2.8,Statistics,6
35,21,Female,3,8,2.89,Statistics,4
36,21,Female,5,5,3.21,BBA,4
37,23,Male,7,8,3.68,Statistics,2
38,24,Male,7,5,3.53,Economics,6
39,24,Male,8,6,4.0,CSE,1
40,20,Female,6,5,3.54,Statistics,6
41,24,Female,3,5,2.68,BBA,5
42,21,Male,7,7,3.71,BBA,2
43,23,Male,4,5,3.23,Statistics,1
44,24,Male,3,7,3.17,CSE,2
45,22,Female,4,6,3.23,Statistics,4
46,25,Male,8,7,3.64,BBA,6
47,20,Male,2,6,2.66,BBA,3
48,21,Male,7,7,3.65,Statistics,5
49,25,Male,5,7,3.25,BBA,1
50,21,Male,7,8,3.73,Statistics,5
51,20,Female,7,6,3.46,CSE,5
52,23,Male,3,5,2.9,BBA,3
53,21,Female,7,6,3.44,CSE,6
54,21,Male,8,6,4.0,CSE,2
55,25,Male,4,8,3.15,BBA,6
56,21,Female,8,5,4.0,CSE,4
57,21,Male,8,8,3.87,CSE,3
58,20,Male,7,6,3.63,BBA,4
59,22,Female,7,8,3.79,Statistics,6
60,20,Female,4,6,3.24,Statistics,5
61,20,Female,6,8,3.64,Economics,3
62,24,Male,6,5,3.66,BBA,4
63,20,Male,7,8,3.86,BBA,1
64,23,Male,2,7,2.58,BBA,5
65,24,Female,4,8,3.11,CSE,3
66,21,Male,5,8,3.3,BBA,6
67,23,Female,6,5,3.46,BBA,3
68,23,Female,5,8,3.09,CSE,6
69,25,Female,2,7,2.72,Statistics,5
70,21,Male,7,7,3.92,Statistics,2
71,20,Male,3,8,2.99,Economics,5
72,23,Female,7,6,3.68,Economics,6
73,21,Male,3,5,3.16,CSE,1
74,25,Male,6,8,3.67,Economics,1
75,21,Female,8,8,3.81,Economics,6
76,24,Male,8,8,3.83,Economics,5
77,23,Female,4,6,2.91,CSE,6
78,22,Female,5,5,3.11,BBA,6
79,22,Female,6,5,3.46,CSE,2
80,25,Female,3,5,2.86,Economics,4
81,20,Male,3,8,3.06,Economics,4
82,23,Female,2,7,2.85,CSE,3
83,23,Female,3,7,2.89,BBA,4
84,25,Female,7,8,3.47,CSE,6
85,24,Male,6,5,3.54,Statistics,4
86,25,Female,5,6,3.17,Economics,4
87,22,Female,3,8,2.89,BBA,3
88,23,Male,4,5,2.91,BBA,4
89,21,Male,7,5,3.42,CSE,6
90,21,Male,8,5,3.71,Economics,5
91,25,Female,2,6,2.78,CSE,4
92,24,Male,6,5,3.79,Statistics,2
93,22,Male,6,8,3.68,Statistics,4
94,24,Female,7,6,3.93,Statistics,1
95,24,Female,8,5,3.96,Statistics,3
96,24,Female,7,7,3.99,Statistics,1
97,23,Male,4,8,2.86,BBA,6
98,24,Female,8,8,3.87,BBA,4
99,21,Male,8,5,4.0,Economics,3
100,24,Female,6,8,3.36,CSE,3
